scene_name,category,count,positions
g7hUFVNac26,chair,22,"[14.53018, 3.69691, -0.69087]; [14.57795, 3.69037, 1.51062]; [14.13614, 3.38661, 0.99462]; [14.12971, 3.43694, 0.33334]; [14.13609, 3.38913, -0.19791]; [6.74974, 3.58851, -1.87826]; [-1.93593, 3.50723, 4.78511]; [-2.14452, 3.41639, -5.62784]; [0.83754, 0.542, 5.28007]; [-2.08542, 0.53414, 5.03665]; [-0.31557, 0.53566, 3.67241]; [-0.2718, 0.54425, 3.1812]; [-1.06317, 0.54247, 3.70489]; [-1.04109, 0.54857, 3.16843]; [5.10567, 0.53363, 4.96728]; [-0.96141, 0.53936, -4.2569]; [-0.2534, 0.53836, -4.58652]; [-1.46424, 0.53999, -4.64753]; [-0.95478, 0.53906, -4.89892]; [0.8178, 0.57613, -5.68823]; [7.82992, -2.48938, -2.13739]; [2.50154, -2.35398, -7.56803]"
g7hUFVNac26,bed,8,"[5.48793, 3.75699, 4.12262]; [0.03265, 3.77157, 4.19418]; [0.03483, 3.61589, -5.02767]; [8.79861, 0.7292, -6.19792]; [-1.19204, -2.22054, 1.09428]; [9.01824, -2.68899, -1.70693]; [10.95535, -2.52622, -1.70472]; [10.92782, -1.50196, -1.79751]"
g7hUFVNac26,plant,1,"[4.90458, 3.70731, -1.58928]"
g7hUFVNac26,toilet,5,"[7.02824, 3.439, 0.10411]; [-1.28543, 3.41652, -0.88096]; [5.41693, 0.51144, -1.61153]; [15.20362, 0.20816, -2.67849]; [3.84718, -2.60646, -1.43533]"
g7hUFVNac26,tv_monitor,5,"[8.49222, 4.67909, 2.23047]; [6.28733, 1.93038, 2.02478]; [0.89197, 2.07211, -5.84391]; [2.02668, 2.12729, -6.89296]; [11.73357, 1.42074, -7.16022]"
g7hUFVNac26,sofa,10,"[10.26276, 3.48354, 0.54711]; [12.31988, 3.53063, 1.93771]; [10.30281, 3.45124, 3.49724]; [6.69882, 0.53471, 4.86089]; [3.31568, 0.49118, -4.11552]; [6.83077, 0.49484, -6.12086]; [5.96839, 0.51937, -4.09022]; [3.70688, -2.52063, 1.61321]; [7.45216, -2.48506, 2.76684]; [4.16949, -2.54002, -2.42768]"
ixTj1aTMup2,chair,14,"[4.77144, 3.52618, -4.2562]; [-2.60564, 3.62295, -1.06498]; [4.35143, 3.20661, 2.41442]; [3.77083, 0.38887, -3.19226]; [3.33882, 0.38613, -2.94967]; [3.24144, 0.44149, -3.4998]; [1.95902, 0.38384, -3.19024]; [2.51144, 0.38012, -3.47832]; [2.49666, 0.38327, -2.94445]; [0.99446, 0.44792, -0.59557]; [3.69686, 0.68087, -0.24455]; [2.99467, 0.53133, -0.34036]; [3.33847, 0.72282, -0.77975]; [3.94145, -2.36507, -1.16543]"
ixTj1aTMup2,bed,5,"[3.64144, 3.47316, -2.03848]; [-2.3876, 3.58959, -3.3136]; [4.09196, -2.51287, -2.82573]; [2.20023, -2.52787, 2.00104]; [3.79841, -2.52383, 2.01701]"
ixTj1aTMup2,plant,18,"[1.64143, 4.1937, -4.52113]; [3.51534, 3.66388, -2.43556]; [-4.31907, 4.81672, -4.56321]; [-2.73856, 3.76198, -3.32558]; [-4.38718, 1.90792, 2.7905]; [-4.16858, 0.91792, 2.92896]; [-2.91856, 1.32793, -0.79225]; [-4.22032, 0.71901, -4.39919]; [-1.48039, 0.27929, -2.12402]; [3.38039, 1.07099, 0.01442]; [4.9607, 1.23402, -3.72823]; [1.76303, 0.81105, -4.50784]; [5.17736, -1.77621, -3.65558]; [5.16091, -1.77421, -2.47558]; [5.17864, -1.68996, -1.99557]; [3.80143, -2.20821, -2.88556]; [5.16348, -1.91391, 1.99685]; [1.40679, -2.29463, 2.88962]"
ixTj1aTMup2,toilet,4,"[2.94679, 3.42901, 2.4155]; [-3.95412, 3.44573, 2.57268]; [-4.10794, 0.2683, 1.16057]; [-2.21097, -2.54973, 2.77716]"
ixTj1aTMup2,tv_monitor,1,"[-4.00797, 1.15029, -1.05079]"
ixTj1aTMup2,sofa,2,"[-1.36009, 0.3739, -3.05212]; [-1.15537, -2.42422, -2.75678]"
ACZZiU6BXLz,chair,6,"[10.518, 0.44388, -1.0802]; [10.87818, 0.3987, -1.78125]; [10.87805, 0.43776, -2.37514]; [10.35334, 0.44654, -2.9277]; [9.99836, 0.44279, -1.73849]; [9.95917, 0.44222, -2.43043]"
ACZZiU6BXLz,bed,4,"[9.83854, 3.61408, 2.31604]; [7.51916, 3.33234, -2.20817]; [5.23796, 3.20118, 2.12147]; [7.36221, 0.50567, -2.12008]"
ACZZiU6BXLz,plant,2,"[8.92146, 4.05539, -0.16297]; [11.37641, 3.78834, 3.27573]"
ACZZiU6BXLz,toilet,2,"[9.21077, 3.43234, -1.12446]; [4.27089, 0.40003, -3.40061]"
ACZZiU6BXLz,tv_monitor,1,"[0.40891, 0.90998, 1.74317]"
ACZZiU6BXLz,sofa,2,"[2.36333, 0.45569, 2.98817]; [4.09942, 0.37625, 1.54993]"
GTV2Y73Sn5t,chair,10,"[-4.24644, 0.39043, 1.92321]; [-8.29308, 0.39625, -0.16933]; [-1.50884, 0.83844, -4.80647]; [-0.14108, 0.57953, 1.20339]; [-2.51747, -2.65086, -1.11653]; [-3.94878, -2.42528, 0.95581]; [-4.97101, -2.27207, 1.2735]; [-4.48359, -2.32054, 1.31621]; [-4.58833, -2.31849, 0.63337]; [-5.05884, -2.31871, 0.65785]"
GTV2Y73Sn5t,bed,4,"[-6.72117, 0.52583, 0.57139]; [-2.54405, 0.27174, 1.71817]; [-0.6898, -2.36295, -2.39166]; [-0.65876, -2.36577, -5.22511]"
GTV2Y73Sn5t,plant,0,
GTV2Y73Sn5t,toilet,2,"[-9.19384, 0.2924, -3.1195]; [-9.40715, -2.58193, -3.31387]"
GTV2Y73Sn5t,tv_monitor,5,"[-5.97511, 1.33971, 2.26325]; [-1.1488, 0.94953, -5.84049]; [-1.52077, 1.02364, -5.57485]; [-1.05342, -2.27961, -1.41539]; [-2.58695, -1.67598, -3.26189]"
GTV2Y73Sn5t,sofa,2,"[-0.57498, 0.5172, -2.64777]; [-1.17979, -2.43228, 1.30274]"
FnDDfrBZPhh,chair,4,"[-5.45215, -2.18278, -1.6765]; [-2.08326, -2.24033, -1.73875]; [-3.07692, -2.23587, -1.01393]; [-4.27571, -2.22099, -1.05058]"
FnDDfrBZPhh,bed,4,"[3.21781, 0.42343, 1.46279]; [-1.63504, 0.44066, -2.24988]; [2.66954, -2.30244, -1.70717]; [3.75343, 0.50367, -3.00924]"
FnDDfrBZPhh,plant,0,
FnDDfrBZPhh,toilet,2,"[-0.97812, -2.37935, 1.54785]; [-1.12573, 0.3414, 1.72962]"
FnDDfrBZPhh,tv_monitor,5,"[0.36171, 1.01551, 1.31568]; [-3.9309, -1.8963, -3.66096]; [-1.59014, -2.42923, -0.14468]; [-6.98552, 0.98146, -1.87792]; [-6.66214, 0.90336, 1.89363]"
FnDDfrBZPhh,sofa,2,"[-4.21653, 0.42822, -0.5694]; [-2.68844, 0.47233, 1.63578]"
iigzG1rtanx,chair,15,"[-9.01933, -0.92428, 7.18474]; [-6.89292, -1.07866, 2.84751]; [-8.86211, -1.083, 2.79565]; [-0.59635, -0.99082, 1.47365]; [-1.28118, -0.98899, 1.48305]; [-1.91485, -0.8983, 1.50113]; [-2.44365, -0.95054, 0.95146]; [0.43572, -1.00477, 6.19444]; [-0.13174, -1.00699, 5.86853]; [-0.8071, -1.00465, 5.89247]; [-1.4374, -1.00483, 5.95367]; [-1.95628, -0.99706, 6.24493]; [-1.36428, -0.99923, 6.61292]; [-0.73826, -1.0071, 6.68637]; [-0.11817, -1.00536, 6.58153]"
iigzG1rtanx,bed,4,"[0.41841, 2.48685, -0.08848]; [-3.91522, 2.23498, 0.169]; [-2.0871, 2.21501, 6.67239]; [-6.59012, 2.14552, 6.43176]"
iigzG1rtanx,plant,0,
iigzG1rtanx,toilet,3,"[-1.30816, 1.90662, -0.57422]; [-9.4082, 1.89493, 1.57797]; [-2.7182, -1.13831, 4.10811]"
iigzG1rtanx,tv_monitor,4,"[2.16736, 2.55567, 1.77638]; [-6.19692, 2.7238, 0.33944]; [-9.61263, 2.67589, 4.92399]; [-9.52165, -0.61245, 7.72746]"
iigzG1rtanx,sofa,1,"[-9.30671, 1.9571, 6.89758]"
MVVzj944atG,chair,7,"[5.45704, 3.03405, 4.95955]; [1.19123, 0.36394, 4.5929]; [8.09896, 0.47747, 3.44759]; [8.70235, 0.47645, 3.40923]; [8.74428, 0.47564, 2.85607]; [8.14715, 0.47706, 2.84607]; [9.47929, 0.41407, 3.17478]"
MVVzj944atG,bed,3,"[2.59312, 3.28918, 2.95354]; [5.29146, 3.3747, -0.63973]; [5.77764, 4.22019, 2.2937]"
MVVzj944atG,plant,0,
MVVzj944atG,toilet,1,"[2.0276, 3.08656, -1.11224]"
MVVzj944atG,tv_monitor,3,"[0.85589, 4.43452, 1.13023]; [0.40888, 0.72519, 2.7952]; [5.28512, 0.77959, 4.72025]"
MVVzj944atG,sofa,0,
GGBvSFddQgs,chair,20,"[4.79278, -2.07504, 1.10554]; [3.55658, -2.16716, 1.08758]; [7.73215, 0.48176, 10.84114]; [3.51934, 0.48357, 9.0972]; [3.44444, 0.4991, 4.18821]; [5.08742, 0.49474, 4.06724]; [4.84871, 0.48221, 2.84476]; [12.33939, 0.5236, 7.48498]; [12.0522, 0.50623, 8.0196]; [12.06944, 0.4915, 8.47724]; [12.05033, 0.49844, 8.98571]; [12.35535, 0.49913, 9.5649]; [12.6584, 0.49878, 8.05724]; [12.53485, 0.47285, 8.46724]; [12.77432, 0.53684, 9.0379]; [11.77259, 0.63444, 3.71116]; [10.18913, 0.32855, 10.70365]; [7.84975, 3.26492, 4.27345]; [6.43246, 3.21058, 4.18723]; [13.41673, 3.25196, 2.88401]"
GGBvSFddQgs,bed,7,"[3.59252, -2.66345, 9.86625]; [4.54372, 2.97768, 10.78986]; [4.34253, 3.01095, 7.79981]; [6.1665, 2.98951, 5.59698]; [4.21989, 3.03075, 5.54558]; [11.56451, 3.05015, 4.80466]; [12.23693, 3.07693, 9.29912]"
GGBvSFddQgs,plant,0,
GGBvSFddQgs,toilet,4,"[7.87804, -2.20535, 3.14301]; [9.88776, 3.20046, 7.68006]; [12.58134, 3.19034, 7.66452]; [12.52736, 3.00664, 6.28112]"
GGBvSFddQgs,tv_monitor,0,
GGBvSFddQgs,sofa,2,"[6.1012, -2.51337, 3.54157]; [6.20495, 0.47971, 6.73289]"
v7DzfFFEpsD,chair,17,"[15.96942, 0.39931, -1.73904]; [16.21606, 0.30133, 0.69093]; [12.63355, 0.29618, -0.37343]; [12.39844, 0.25294, -0.67199]; [12.57083, 0.31787, -1.54547]; [9.16386, 0.35039, 1.39098]; [7.45456, 0.49618, 0.81367]; [7.4748, 0.5032, -6.52766]; [3.30771, 0.51745, -3.39893]; [-1.11491, 0.43208, -0.45327]; [12.6721, -2.5866, 0.06213]; [13.39858, -2.58594, -0.24285]; [13.98738, -2.57627, -0.22817]; [14.50012, -2.58829, 0.15099]; [9.82629, -2.59505, -1.20207]; [9.2473, -2.53885, -1.19142]; [8.51032, -2.59539, -1.19273]"
v7DzfFFEpsD,bed,3,"[15.01699, 0.66143, -6.19615]; [0.26833, 0.89159, -2.88296]; [9.62851, -2.15502, -6.12203]"
v7DzfFFEpsD,plant,3,"[7.43291, 0.86139, 1.62217]; [1.7105, 1.02399, -0.09173]; [-0.58854, -2.75344, -1.21082]"
v7DzfFFEpsD,toilet,3,"[11.70751, 0.35868, 0.40585]; [3.51937, 0.30843, -6.83687]; [6.24678, -2.72642, -4.23588]"
v7DzfFFEpsD,tv_monitor,7,"[14.47305, 1.7103, 1.48713]; [8.03549, 0.96086, 0.6134]; [7.96523, 1.01645, 1.09112]; [7.53636, 1.82034, -1.21747]; [2.03373, 1.74739, -0.07648]; [13.77887, -1.06367, -7.09874]; [8.33149, -1.30471, -6.9323]"
v7DzfFFEpsD,sofa,3,"[14.72733, 0.46385, -3.05902]; [15.95559, 0.48889, -0.4121]; [14.27664, -2.65564, -4.87999]"
W16Bm4ysK8v,chair,16,"[1.14621, 3.24355, -5.18561]; [1.18348, 0.18962, 2.76214]; [-1.1375, 0.50268, 3.21613]; [-0.61663, 0.50149, 2.6446]; [0.09539, 0.5415, 3.24222]; [-0.58941, 0.4989, 3.93178]; [-1.12323, 0.46463, -6.30422]; [-7.73835, -0.05312, 3.79352]; [-8.30314, 0.11454, -0.78358]; [-4.4117, 0.47867, -4.36359]; [-5.92473, 0.61709, -4.08818]; [-5.43619, 0.50909, -3.42322]; [-5.44598, 0.50043, -2.92973]; [-5.8564, 0.49545, -2.31822]; [-6.32567, 0.50387, -2.89322]; [-6.35787, 0.50589, -3.42073]"
W16Bm4ysK8v,bed,2,"[-2.61705, 3.37517, 1.54548]; [-0.41183, 0.74027, -4.07323]"
W16Bm4ysK8v,plant,2,"[4.31771, 1.16394, -1.62322]; [4.3291, 1.1446, -1.86322]"
W16Bm4ysK8v,toilet,3,"[-6.46656, 0.43676, -6.5644]; [1.34546, 3.12243, -2.53674]; [5.01611, 0.06574, -2.39905]"
W16Bm4ysK8v,tv_monitor,4,"[1.3591, 3.67859, -5.43193]; [1.3691, 3.68449, -4.91849]; [-0.8367, 0.94708, -6.69464]; [-5.40939, 0.46144, -0.75569]"
W16Bm4ysK8v,sofa,1,"[-4.55045, 0.09263, 2.49944]"
GtM3JtRvvvR,chair,18,"[3.7696, 0.52348, 0.78902]; [4.4585, 0.52718, 1.05758]; [5.11501, 0.52312, 0.84254]; [8.64235, 0.47782, 2.8336]; [9.01842, 0.47003, 3.44725]; [9.00066, 0.48147, 4.13399]; [8.89619, 0.3735, 4.74282]; [8.64054, 0.48728, 5.22995]; [8.42669, 0.46761, 4.6871]; [8.33526, 0.47081, 3.96833]; [8.34139, 0.48183, 3.29137]; [9.95644, 0.4196, -0.97665]; [8.74993, 0.41864, -1.01999]; [16.83503, 0.58368, -1.3523]; [14.31902, 0.51137, -0.50245]; [16.85425, 0.52397, 2.36786]; [14.30002, 0.50306, 5.97268]; [16.80513, 0.44821, 3.07923]"
GtM3JtRvvvR,bed,3,"[16.48564, 0.42328, -3.30559]; [16.31181, 0.31688, 0.25143]; [16.3716, 0.43562, 5.37719]"
GtM3JtRvvvR,plant,0,
GtM3JtRvvvR,toilet,2,"[1.28771, 0.26738, 4.84121]; [11.79458, 0.24815, -2.92195]"
GtM3JtRvvvR,tv_monitor,1,"[10.85641, 1.07609, -3.85655]"
GtM3JtRvvvR,sofa,2,"[-0.57008, 0.2715, 1.38901]; [7.32046, 0.38841, -2.52948]"
YJDUB7hWg9h,chair,8,"[-2.31462, 0.48063, -3.1291]; [-2.82967, 0.47398, -3.41616]; [-2.87461, 0.47882, -2.83628]; [-3.50668, 0.47419, -3.13116]; [0.58125, 0.46116, -3.54616]; [-7.24705, 0.50085, 3.28384]; [2.89739, 0.42173, 3.63155]; [-1.15716, 0.56409, 2.90853]"
YJDUB7hWg9h,bed,2,"[-9.19893, 0.65782, 2.71159]; [2.82187, 0.99935, 1.81149]"
YJDUB7hWg9h,plant,0,
YJDUB7hWg9h,toilet,2,"[3.80446, 0.39832, -0.93346]; [-5.81341, 0.34822, 3.55076]"
YJDUB7hWg9h,tv_monitor,2,"[0.60099, 0.97535, -2.6587]; [-3.36462, 0.84499, 3.33099]"
YJDUB7hWg9h,sofa,0,
YmWinf3mhb5,chair,2,"[-0.12563, 0.46873, 1.62662]; [-0.90675, 0.46001, 0.20582]"
YmWinf3mhb5,bed,2,"[0.47911, 0.58774, -5.0511]; [9.46711, 0.80654, -1.87663]"
YmWinf3mhb5,plant,1,"[4.81082, 1.31045, -6.57271]"
YmWinf3mhb5,toilet,2,"[-1.41865, 0.39101, -1.06428]; [9.70082, 0.37438, -6.15869]"
YmWinf3mhb5,tv_monitor,1,"[10.01562, 1.36456, -3.93302]"
YmWinf3mhb5,sofa,3,"[4.28329, 0.40685, -0.72197]; [7.09637, 0.45415, -5.3566]; [4.2053, 0.35046, 2.45868]"
VoVGtfYrpuQ,chair,11,"[7.4433, 1.51797, -0.18916]; [7.32342, -1.61435, 1.66178]; [4.82839, -1.61524, 1.54595]; [-5.45195, -1.61263, -1.13894]; [-5.14056, -1.6058, -1.66405]; [-5.85424, -1.6044, -1.71405]; [-5.88693, -1.59869, -2.22405]; [-5.06924, -1.60277, -2.17144]; [-5.0616, -1.59769, -2.74628]; [-5.44662, -1.58875, -3.23362]; [-5.86671, -1.59765, -2.72406]"
VoVGtfYrpuQ,bed,4,"[6.26765, 1.78518, 2.06849]; [-4.75264, 1.71406, 1.31382]; [-6.19483, 1.67651, -1.85699]; [-2.5856, 1.7139, -2.86686]"
VoVGtfYrpuQ,plant,23,"[5.04246, 1.76708, 2.91595]; [2.27054, 1.87639, -4.10402]; [0.59403, 1.54876, -2.68988]; [2.43489, 1.71321, -2.08523]; [-1.99993, 2.37666, 1.22982]; [-0.37159, 1.96983, 3.11693]; [-3.75771, 1.71436, 0.49595]; [-2.70876, 2.40666, 2.07595]; [-7.47037, 1.78568, -2.85052]; [-1.70688, 1.76169, -3.87129]; [7.59472, -1.39794, 2.40404]; [4.46772, -1.57706, 3.9366]; [6.22839, -1.45297, 2.51595]; [6.51316, -1.48114, 2.42595]; [-7.03655, -0.95591, -3.97235]; [-5.5953, -1.46777, 1.97573]; [-5.59161, -1.11897, -2.21404]; [-3.2308, -1.26513, 1.91785]; [-3.35634, -0.43648, -4.13661]; [-1.2716, -0.81337, -3.91888]; [-1.15521, -0.9334, -2.00484]; [-3.44132, -0.92057, -6.13836]; [5.59846, 2.20664, -4.31578]"
VoVGtfYrpuQ,toilet,3,"[3.12119, 1.52895, -4.04408]; [2.41101, 1.51001, 0.92373]; [2.43647, -1.61138, 1.32186]"
VoVGtfYrpuQ,tv_monitor,2,"[2.54848, 2.46663, -2.84134]; [-3.08043, -0.61332, 2.53899]"
VoVGtfYrpuQ,sofa,3,"[-0.05724, 1.39757, -3.37405]; [6.10911, -1.60825, 3.85668]; [-6.31659, -1.57241, 2.8623]"
xWvSkKiWQpC,chair,29,"[-4.24454, 0.4447, -4.75073]; [-2.19687, 0.85867, -3.64916]; [-2.7946, 0.51934, 1.60758]; [-2.22073, 0.61783, 1.58416]; [-5.61261, 0.41069, 0.07157]; [-5.52352, 0.46684, 1.50024]; [-7.39344, 0.61144, -3.22963]; [-6.66766, 0.59897, -2.36126]; [-6.76398, 0.43894, -1.4108]; [-8.36255, 0.88919, -5.159]; [-7.5141, 0.88427, -5.1765]; [-6.61162, 0.8791, -5.15816]; [-5.16514, 0.49742, -4.50874]; [-5.18017, 0.49619, -3.98324]; [-5.15936, 0.446, 5.21866]; [-4.90287, 0.406, 4.41153]; [-4.91372, 0.42174, 3.38427]; [-4.98463, 0.41502, 2.38808]; [-6.3644, 0.5949, 3.32952]; [-7.16355, 0.65784, 3.23881]; [-7.19037, 0.82762, 4.19984]; [-6.46983, 0.83679, 4.16713]; [-7.76034, 0.62856, 3.68532]; [-7.10224, 0.63974, 10.68114]; [-10.71209, 0.55651, 8.90683]; [-5.92651, 0.42079, 6.76092]; [-7.30593, 0.09632, 6.92022]; [-3.66935, 0.46011, 8.10257]; [-3.59056, 0.54794, 6.33156]"
xWvSkKiWQpC,bed,0,
xWvSkKiWQpC,plant,1,"[-3.26635, 0.94711, -1.89232]"
xWvSkKiWQpC,toilet,1,"[-13.39926, 0.40612, -2.01368]"
xWvSkKiWQpC,tv_monitor,5,"[-1.5695, 1.7737, -3.18747]; [-1.78845, 1.34483, -2.97107]; [-6.08658, 1.14858, 1.08807]; [-9.76675, 0.99274, 9.1901]; [-7.26604, 1.00701, 6.0335]"
xWvSkKiWQpC,sofa,1,"[-3.78773, 0.41276, 0.87615]"
U3oQjwTuMX8,chair,25,"[-14.6152, 0.48557, 1.5933]; [-13.06411, 0.46934, 1.60433]; [-10.93258, 0.46897, 2.25626]; [-9.62895, 0.45936, 2.07023]; [-2.93844, 0.24826, 0.58053]; [-7.2522, 0.3754, -0.73256]; [-7.97535, 0.37913, -0.14947]; [-8.59398, 0.38221, -0.15466]; [-9.24437, 0.3847, -0.19836]; [-10.09388, 0.43409, -0.7278]; [-8.14911, 0.44991, -1.24067]; [-8.73596, 0.38208, -1.29351]; [-9.37312, 0.38007, -1.33331]; [-14.05823, 0.46135, -1.88582]; [-14.23224, 0.44442, -2.46307]; [-14.86594, 0.39077, -2.57956]; [-15.23056, 0.48307, -1.99113]; [-14.94951, 0.45041, -1.3646]; [-14.32596, 0.41643, -1.36048]; [-8.55372, 0.43599, -8.00696]; [-10.19973, 0.37553, -9.2995]; [-1.02486, 0.19316, -12.08479]; [5.27221, 0.46231, -15.32349]; [3.99354, 0.46387, -15.14986]; [2.4446, 0.25024, -13.02454]"
U3oQjwTuMX8,bed,6,"[-7.04659, 0.71291, 4.47992]; [-13.00602, 0.37104, -10.06997]; [-12.55569, 0.42387, -11.45733]; [-7.17344, 0.69723, -10.66851]; [6.58138, 0.76415, -12.52233]; [6.52986, 0.73726, -10.21994]"
U3oQjwTuMX8,plant,0,
U3oQjwTuMX8,toilet,4,"[-0.04542, 0.36761, 3.82049]; [2.55878, 0.35456, -3.41167]; [0.12409, 0.4019, -8.99475]; [5.91136, 0.41205, -3.89949]"
U3oQjwTuMX8,tv_monitor,4,"[-7.05119, 1.27912, 1.28652]; [-8.11152, 1.44748, -6.91767]; [-9.67986, 1.35926, -12.9073]; [3.36042, 1.28917, -11.292]"
U3oQjwTuMX8,sofa,7,"[-14.19852, 0.3442, 4.86757]; [-10.33035, 0.46291, 4.83361]; [-10.77704, 0.44368, -4.8441]; [-7.74595, 0.41835, -4.09924]; [-14.80533, 0.33963, -4.82095]; [-14.92871, 0.34999, -7.96058]; [6.43411, 0.41198, -14.97402]"
ggNAcMh8JPT,chair,10,"[2.213, 0.45915, -1.7941]; [-2.01068, 0.5408, 1.39026]; [-2.60996, 0.5348, 0.84077]; [-3.27595, 0.53867, 1.36718]; [2.44079, 0.46413, -3.26787]; [0.12132, 0.54852, -3.1184]; [0.52307, -2.19324, -2.20026]; [-5.50711, -2.10845, 1.17401]; [-6.79596, -2.16253, 1.12613]; [-7.37047, -2.32577, -1.20376]"
ggNAcMh8JPT,bed,3,"[0.93027, 0.74384, -5.78806]; [1.41518, 3.16194, -5.7884]; [-2.90707, -2.16795, -2.11923]"
ggNAcMh8JPT,plant,0,
ggNAcMh8JPT,toilet,3,"[-5.65358, 0.35996, -6.55103]; [-4.76654, 0.35145, -5.47713]; [-2.80075, 3.03528, -6.36156]"
ggNAcMh8JPT,tv_monitor,2,"[0.28898, 0.96089, 1.63931]; [-2.5489, -1.89312, 1.65461]"
ggNAcMh8JPT,sofa,2,"[-1.1705, 0.40698, -1.0488]; [0.62451, 0.40552, -2.2273]"
gjhYih4upQ9,chair,15,"[-2.59837, 0.58442, 2.76736]; [0.41485, 0.53891, -4.0993]; [2.65743, 0.53931, -4.38766]; [3.94374, 0.46143, -3.14051]; [5.90416, 0.46973, -3.24598]; [5.18936, 0.46675, -2.64494]; [4.60743, 0.46215, -2.65493]; [4.57712, 0.46912, -3.71555]; [5.27743, 0.46712, -3.78243]; [1.24309, 0.47906, 3.30071]; [10.27296, -2.01395, 0.81075]; [9.44616, -2.0197, -0.00629]; [8.63743, -2.02111, -0.01631]; [10.27644, -1.99624, 2.3207]; [10.36358, 0.52891, -0.04284]"
gjhYih4upQ9,bed,2,"[2.96185, 0.40486, 2.23656]; [9.60873, 0.67262, 1.88216]"
gjhYih4upQ9,plant,0,
gjhYih4upQ9,toilet,3,"[5.63813, -2.0911, 2.13969]; [5.44744, 0.32894, 2.68236]; [5.15748, 0.38005, 1.89581]"
gjhYih4upQ9,tv_monitor,1,"[2.59743, 1.48399, -0.85929]"
gjhYih4upQ9,sofa,0,
77mMEyxhs44,chair,20,"[8.4198, 2.83688, -5.4825]; [11.36991, 2.91387, -4.323]; [7.50867, 2.96603, 0.15777]; [2.38056, 0.35631, -6.64531]; [7.45837, 0.62153, -2.41687]; [4.80161, 0.78078, -6.53212]; [3.52019, 0.34061, -7.92206]; [12.63575, 0.24471, -4.96016]; [12.98116, 0.48707, -7.55127]; [8.38686, 0.57699, -7.8857]; [10.8554, 0.42118, -6.66365]; [11.46854, 0.42311, -6.65334]; [12.25741, 0.42768, -6.27674]; [11.44482, 0.42406, -5.94401]; [10.75459, 0.42881, -5.93897]; [10.04583, 0.43151, -6.2955]; [9.15851, 0.44706, -0.09577]; [12.91151, 0.4764, -1.44554]; [-0.5053, 0.50768, 0.84102]; [-0.55445, 0.50788, 0.30103]"
77mMEyxhs44,bed,3,"[0.20576, 3.14221, -5.28884]; [0.33562, 2.99534, -0.31384]; [10.08294, 3.2195, -0.35333]"
77mMEyxhs44,plant,0,
77mMEyxhs44,toilet,4,"[7.56054, 2.92297, -4.92245]; [4.55398, 2.92489, -0.39898]; [5.34952, 2.92731, -0.47898]; [7.53723, 0.23896, -7.6997]"
77mMEyxhs44,tv_monitor,3,"[-0.8441, 0.63826, -7.62609]; [5.88718, 0.9689, -6.52248]; [11.77891, 0.86461, -3.86311]"
77mMEyxhs44,sofa,3,"[1.89834, 0.39552, -1.42152]; [0.62203, 0.33392, -5.53066]; [11.27376, 0.46886, 0.128]"
JptJPosx1Z6,chair,32,"[-16.73655, 0.4324, -7.45002]; [-17.95212, 0.5017, -7.60521]; [-18.05286, 0.25724, -8.82268]; [-15.0585, 0.42574, -7.46083]; [-8.8665, 0.55362, -8.41083]; [-9.56104, 0.54872, -8.17524]; [-10.29417, 0.51481, -8.45043]; [-10.32946, 0.55819, -9.20636]; [-8.11887, 0.56894, -5.06793]; [-8.86192, 0.62559, -5.10705]; [-15.64776, 0.51888, -3.75105]; [1.20251, 0.55912, -6.3303]; [1.2417, 0.55437, -4.99938]; [-2.84216, 0.4772, -3.28116]; [-2.79893, 0.54728, -2.63226]; [-2.92583, 0.27826, -2.09483]; [-3.28641, 0.53237, -1.35239]; [-3.8312, 0.53303, -1.37473]; [-3.12568, 0.54809, -3.98348]; [-3.6889, 0.54045, -3.91453]; [-4.30701, 0.55312, -3.30164]; [-4.24575, 0.47725, -2.59677]; [-4.34398, 0.52438, -2.07952]; [-5.46711, 0.48013, -4.41294]; [-4.82676, 0.59249, -11.91815]; [-5.17085, 0.64914, -8.07097]; [3.34504, 0.62525, -3.92376]; [9.72478, 0.67029, -3.46354]; [12.8825, 0.5952, -10.33744]; [14.99973, 0.59811, -12.15687]; [12.49818, 0.40612, -16.49753]; [18.55741, 0.42205, -17.22506]"
JptJPosx1Z6,bed,5,"[-15.9268, 0.48215, -10.38955]; [2.90294, 0.62291, -2.24027]; [12.04161, 0.604, -3.03581]; [12.04042, 0.5697, -5.2964]; [13.78768, 0.45009, -14.79587]"
JptJPosx1Z6,plant,5,"[-9.53078, 0.91292, -8.92434]; [-3.56008, 0.92443, -3.26793]; [-3.55939, 0.95718, -2.13625]; [-1.1115, 0.98789, -10.37007]; [5.44884, 1.13789, -12.25673]"
JptJPosx1Z6,toilet,6,"[-14.27981, 0.3885, -10.59896]; [3.63471, 0.40394, -6.3888]; [6.66422, 0.31968, -2.3029]; [15.56318, 0.27711, -16.79179]; [15.36958, 0.19659, -15.61581]; [16.04365, 0.25654, -16.24783]"
JptJPosx1Z6,tv_monitor,5,"[-17.52932, 1.64423, -10.91415]; [-7.90349, 1.86044, -9.6174]; [5.93776, 1.10053, -1.80618]; [3.27752, 0.91015, -4.68455]; [9.37269, 1.58053, -2.10118]"
